N-term, time, date, conId, Current Price, Changes in Price (%), Time Average Bid, Time Average Ask, Last Bid Price, Last Ask Price, Bid-Ask Spread, Average Bid-Ask Spread, Current Volume, Average Volume, Volume Condition, Bid-Ask Spread Condition, Last Traded Condition, Order
0,09:30:00,20230127,578106878,623,0,597.55,608.9,546,551,5,0,0,0,0,-1,1,
1,09:40:00,20230127,578106878,623,0,603.6,612.9,546,555,9,5,0,0,0,-1,1,
2,09:50:00,20230127,578106878,623,0,606.55,612.15,546,555,9,7,0,0,0,0,1,
3,10:00:00,20230127,578106878,623,0,598.85,607.5,546,555,9,7.666666666666666,0,0,0,0,1,
4,10:10:00,20230127,578106878,623,0,607.05,609.9,546,555,9,8,0,0,0,0,1,
5,10:20:00,20230127,578106878,623,0,606.3,609.5,546,555,9,8.200000000000001,0,0,0,0,1,
6,10:30:00,20230127,578106878,624,0.16051364365971107,604.9,610,546,555,9,8.333333333333334,1,0,1,0,1,
7,10:40:00,20230127,578106878,624,0.16051364365971107,607.75,611.65,546,555,9,8.428571428571429,0,0.142857142857143,-1,0,1,
8,10:50:00,20230127,578106878,624,0.16051364365971107,610,612,545.5,555,9.5,8.5,0,0.125,-1,0,1,
9,11:00:00,20230127,578106878,624,0.16051364365971107,610,612,545.5,555,9.5,8.61111111111111,0,0.111111111111111,-1,0,1,
10,11:10:00,20230127,578106878,624,0.16051364365971107,610,612,545,555,10,8.7,0,0.0999999999999999,-1,0,1,
11,11:20:00,20230127,578106878,624,0.16051364365971107,610,612,545,555,10,8.818181818181817,0,0.0909090909090908,-1,0,1,
12,11:30:00,20230127,578106878,624,0.16051364365971107,610,612,545,555,10,8.916666666666666,0,0.0833333333333332,-1,0,1,
13,11:40:00,20230127,578106878,624,0.16051364365971107,610,612,550,555,5,9,0,0.0769230769230768,-1,0,1,
14,11:50:00,20230127,578106878,624,0.16051364365971107,608.7,611.5,550,555,5,8.714285714285715,0,0.0714285714285713,-1,0,1,
15,12:00:00,20230127,578106878,624,0.16051364365971107,608,611.5,550,555,5,8.466666666666669,0,0.0666666666666665,-1,0,1,
16,12:10:00,20230127,578106878,624,0.16051364365971107,608,611.5,549,555,6,8.250000000000002,0,0.0624999999999998,-1,0,1,
17,12:20:00,20230127,578106878,624,0.16051364365971107,609.4,611.4,547,555,8,8.11764705882353,0,0.0588235294117645,-1,0,1,
18,12:30:00,20230127,578106878,625,0.32102728731942215,608.75,611.4,549.5,555,5.5,8.111111111111112,1,0.0555555555555554,1,0,1,
19,12:40:00,20230127,578106878,625,0.32102728731942215,608.3,613.6,549.5,555,5.5,7.973684210526318,0,0.105263157894737,-1,0,1,
20,12:50:00,20230127,578106878,625,0.32102728731942215,610,614.5,544.5,555,10.5,7.850000000000002,4,0.1,1,0,1,
21,13:00:00,20230127,578106878,624.5,0.2407704654895666,612.2,614.5,549,551,2,7.976190476190478,7,0.285714285714286,1,1,1,BUY
22,13:10:00,20230127,578106878,624.5,0.2407704654895666,610.15,614.5,544.5,555,10.5,7.704545454545456,0,0.590909090909091,-1,0,1,
23,13:20:00,20230127,578106878,624.5,0.2407704654895666,610,614.5,544,555,11,7.82608695652174,0,0.565217391304348,-1,0,1,
24,13:30:00,20230127,578106878,624.5,0.2407704654895666,610,614.65,544,555,11,7.958333333333334,0,0.541666666666667,-1,0,1,
25,13:40:00,20230127,578106878,605,-2.889245585874799,610,615,544,555,11,8.08,4,0.52,1,0,-1,
26,13:50:00,20230127,578106878,605,-2.889245585874799,610,615,544,555,11,8.192307692307692,0,0.653846153846154,-1,0,-1,
27,14:00:00,20230127,578106878,605,-2.889245585874799,610,615,544,555,11,8.296296296296296,0,0.62962962962963,-1,0,-1,
28,14:10:00,20230127,578106878,605,-2.889245585874799,610,615,544,560,16,8.392857142857142,0,0.607142857142857,-1,-1,-1,SELL
29,14:20:00,20230127,578106878,605,-2.889245585874799,610,615,544,559.5,15.5,8.655172413793101,0,0.586206896551724,-1,-1,-1,SELL
30,14:30:00,20230127,578106878,605,-2.889245585874799,610,615,543.5,560,16.5,8.883333333333333,0,0.566666666666666,-1,-1,-1,SELL
31,14:40:00,20230127,578106878,595,-4.49438202247191,610,615,550,560,10,9.129032258064516,1,0.548387096774193,1,0,-1,
32,14:50:00,20230127,578106878,589.5,-5.377207062600322,611.45,615,550,560,10,9.15625,2,0.562499999999999,1,0,-1,
33,15:00:00,20230127,578106878,600,-3.6918138041733553,612.5,615,550,562,12,9.181818181818182,2,0.606060606060605,1,0,-1,
34,09:30:00,20230130,578106878,602,-3.3707865168539324,597,619.85,563,570,7,9.264705882352942,9,0.647058823529411,1,0,0,
35,09:40:00,20230130,578106878,607.5,-2.4879614767255216,596.3,615.8,563,570,7,9.2,3,0.885714285714285,1,0,0,
36,09:50:00,20230130,578106878,605,-2.889245585874799,594.85,613.55,563,570,7,9.138888888888888,3,0.944444444444444,1,0,0,
37,10:00:00,20230130,578106878,605,-2.889245585874799,604.65,613.9,563,570,7,9.08108108108108,1,1.0,0,0,0,
38,10:10:00,20230130,578106878,605,-2.889245585874799,606.05,612.5,563,570,7,9.026315789473683,0,1,-1,0,-1,
39,10:20:00,20230130,578106878,608,-2.4077046548956664,605.1,614.7,563,570,7,8.974358974358973,2,0.974358974358974,1,0,0,
40,10:30:00,20230130,578106878,608,-2.4077046548956664,604,614.1,563,570,7,8.924999999999999,0,1.0,-1,0,0,
41,10:40:00,20230130,578106878,610,-2.086677367576244,604,618.45,563,570,7,8.878048780487804,3,0.975609756097561,1,0,0,
42,10:50:00,20230130,578106878,610,-2.086677367576244,604,619,563,570,7,8.833333333333332,0,1.02380952380952,-1,0,0,
43,11:00:00,20230130,578106878,610,-2.086677367576244,604,619,556.5,570,13.5,8.790697674418604,0,0.999999999999996,-1,-1,0,
44,11:10:00,20230130,578106878,610,-2.086677367576244,604,619,556.5,570.5,14,8.897727272727272,0,0.977272727272724,-1,-1,0,
45,11:20:00,20230130,578106878,610,-2.086677367576244,604,617.1,556.5,570.5,14,9.011111111111111,0,0.955555555555552,-1,-1,0,
46,11:30:00,20230130,578106878,610,-2.086677367576244,604,612.25,556.5,570.5,14,9.119565217391305,0,0.934782608695649,-1,-1,0,
47,11:40:00,20230130,578106878,610,-2.086677367576244,604,612.7,570.5,573.5,3,9.22340425531915,0,0.914893617021274,-1,1,0,
48,11:50:00,20230130,578106878,610,-2.086677367576244,604,614.5,570.5,573.5,3,9.09375,1,0.895833333333331,0,1,0,
49,12:00:00,20230130,578106878,610,-2.086677367576244,604,614.5,570.5,573.5,3,8.96938775510204,0,0.897959183673467,-1,1,0,
50,12:10:00,20230130,578106878,610,-2.086677367576244,604,614.5,570.5,573.5,3,8.85,0,0.879999999999998,-1,1,0,
51,12:20:00,20230130,578106878,610,-2.086677367576244,604,619,570.5,573.5,3,8.735294117647058,0,0.862745098039214,-1,1,0,
52,12:30:00,20230130,578106878,610,-2.086677367576244,604,618.45,572.5,573.5,1,8.625,0,0.846153846153844,-1,1,0,
